Species,Date,Count,Observer,Location,Comments
BLUE-CROWNED HANGING PARROT Loriculus galgulus,2005-02-28,1,(AF/LKS),MacRitchie,"1 over Dairy Farm Road, 17/1 (LKS) and 18/1 (LKS) and 4 at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  At Botanic Gardens, 7 were counted on 4/2 (LKS) and 5 on 28/2 (AF/LKS). Also 3 over Nee Soon, 8/2 (LKS), 1 at MacRitchie Reservoir, 16/2 (LKS) and 28/2 (AF/LKS), and | over Dairy Farm Road, 24/2  (LKS).  1 heard at the foot of Bukit Timah, 12/3 (LKS), 1 flying over Dairy Farm Road, 22/3 (LKS) and 3 at Sime  Road, 27/3 (LKS)."
BLUE-CROWNED HANGING PARROT Loriculus galgulus,2005-02-24,1,(LKS),Dairy Farm Road,"1 over Dairy Farm Road, 17/1 (LKS) and 18/1 (LKS) and 4 at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  At Botanic Gardens, 7 were counted on 4/2 (LKS) and 5 on 28/2 (AF/LKS). Also 3 over Nee Soon, 8/2 (LKS), 1 at MacRitchie Reservoir, 16/2 (LKS) and 28/2 (AF/LKS), and | over Dairy Farm Road, 24/2  (LKS).  1 heard at the foot of Bukit Timah, 12/3 (LKS), 1 flying over Dairy Farm Road, 22/3 (LKS) and 3 at Sime  Road, 27/3 (LKS)."
BLUE-CROWNED HANGING PARROT Loriculus galgulus,2005-03-12,1,(LKS),Bukit Timah,"1 over Dairy Farm Road, 17/1 (LKS) and 18/1 (LKS) and 4 at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  At Botanic Gardens, 7 were counted on 4/2 (LKS) and 5 on 28/2 (AF/LKS). Also 3 over Nee Soon, 8/2 (LKS), 1 at MacRitchie Reservoir, 16/2 (LKS) and 28/2 (AF/LKS), and | over Dairy Farm Road, 24/2  (LKS).  1 heard at the foot of Bukit Timah, 12/3 (LKS), 1 flying over Dairy Farm Road, 22/3 (LKS) and 3 at Sime  Road, 27/3 (LKS)."
BLUE-CROWNED HANGING PARROT Loriculus galgulus,2005-03-22,1,(LKS),Dairy Farm Road,"1 over Dairy Farm Road, 17/1 (LKS) and 18/1 (LKS) and 4 at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  At Botanic Gardens, 7 were counted on 4/2 (LKS) and 5 on 28/2 (AF/LKS). Also 3 over Nee Soon, 8/2 (LKS), 1 at MacRitchie Reservoir, 16/2 (LKS) and 28/2 (AF/LKS), and | over Dairy Farm Road, 24/2  (LKS).  1 heard at the foot of Bukit Timah, 12/3 (LKS), 1 flying over Dairy Farm Road, 22/3 (LKS) and 3 at Sime  Road, 27/3 (LKS)."
BLUE-CROWNED HANGING PARROT Loriculus galgulus,2005-03-27,3,(LKS),Sime Road,"1 over Dairy Farm Road, 17/1 (LKS) and 18/1 (LKS) and 4 at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  At Botanic Gardens, 7 were counted on 4/2 (LKS) and 5 on 28/2 (AF/LKS). Also 3 over Nee Soon, 8/2 (LKS), 1 at MacRitchie Reservoir, 16/2 (LKS) and 28/2 (AF/LKS), and | over Dairy Farm Road, 24/2  (LKS).  1 heard at the foot of Bukit Timah, 12/3 (LKS), 1 flying over Dairy Farm Road, 22/3 (LKS) and 3 at Sime  Road, 27/3 (LKS)."
ROSE-RINGED PARAKEET Psittacula krameri,2005-01-19,1,(LKS),SBWR,"1 male seen at SBWR, 19/1 (LKS) and 4 including a juvenile at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  | at Botanic Gardens, 4/2 (LKS) and 1 at Kent Ridge Park, 12/2 (LKS)."
ROSE-RINGED PARAKEET Psittacula krameri,2005-01-30,4,(NK/LKS/FR/IR/JR),Malcolm Park,"1 male seen at SBWR, 19/1 (LKS) and 4 including a juvenile at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  | at Botanic Gardens, 4/2 (LKS) and 1 at Kent Ridge Park, 12/2 (LKS)."
ROSE-RINGED PARAKEET Psittacula krameri,2005-02-04,1,(LKS),Botanic Gardens,"1 male seen at SBWR, 19/1 (LKS) and 4 including a juvenile at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  | at Botanic Gardens, 4/2 (LKS) and 1 at Kent Ridge Park, 12/2 (LKS)."
ROSE-RINGED PARAKEET Psittacula krameri,2005-02-12,1,(LKS),Kent Ridge Park,"1 male seen at SBWR, 19/1 (LKS) and 4 including a juvenile at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  | at Botanic Gardens, 4/2 (LKS) and 1 at Kent Ridge Park, 12/2 (LKS)."
GLOSSY SWIFTLET Collocalia esculenta,2005-01-14,7,(DA/LKS),BBNP,"7 seen flying low over the quarry at BBNP, 14/1 (DA/LKS).  6 seen at the summit of Bukit Timah, 22/3 (LKS)."
GLOSSY SWIFTLET Collocalia esculenta,2005-03-22,6,(LKS),Bukit Timah,"7 seen flying low over the quarry at BBNP, 14/1 (DA/LKS).  6 seen at the summit of Bukit Timah, 22/3 (LKS)."
ASIAN PALMSWIFT Cypsiurus balasiensis,2005-01-16,1,(DA/NK/LKS),Lorong Halus,"1 at Lorong Halus, 16/1 (DA/NK/LKS) and 2 at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  3 seen near a stretch of planted fan palms at West Coast Park, 6/3 (DA/NK/LKS/JR)."
ASIAN PALMSWIFT Cypsiurus balasiensis,2005-01-30,2,(NK/LKS/FR/IR/JR),Malcolm Park,"1 at Lorong Halus, 16/1 (DA/NK/LKS) and 2 at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  3 seen near a stretch of planted fan palms at West Coast Park, 6/3 (DA/NK/LKS/JR)."
ASIAN PALMSWIFT Cypsiurus balasiensis,2005-03-06,3,(DA/NK/LKS/JR),West Coast Park,"1 at Lorong Halus, 16/1 (DA/NK/LKS) and 2 at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  3 seen near a stretch of planted fan palms at West Coast Park, 6/3 (DA/NK/LKS/JR)."
COLLARED SCOPS-OWL Ortus lempiji,2005-01-28,2,(LKS),Kranji Nature,"2 flushed from a simpoh ayer bush at Kranji Nature Trail, 28/1 (LKS)."
SPOTTED WOOD-OWL Sirix seloputo,2005-01-04,1,(JR),Malcolm Park,"1 seen at Malcolm Park, a new locality, on 4/1 (JR). Another heard at Punggol, another new locality, after  dusk on 16/1 (LKS)."
SPOTTED WOOD-OWL Sirix seloputo,2005-01-16,1,(LKS),Punggol,"1 seen at Malcolm Park, a new locality, on 4/1 (JR). Another heard at Punggol, another new locality, after  dusk on 16/1 (LKS)."
GREY NIGHTJAR Caprimulgus indicus,2005-01-05,1,(OSM),Treetop Walk,"1 present at the Treetop Walk at CCNR, 5/1 (OSM)."
RED COLLARED-DOVE Streptopelia tranquebarica,2005-01-07,1,(DA/LKS),SBWR,"1 male seen in mangrove at SBWR, 7/1 (DA/LKS), | pair on a dead tree at Punggol, 9/1 (DA/NK/LKS/JR)  and 2 at Lorong Halus, 16/1 (DA/NK/LKS).  4 seen foraging on gravel track at Lorong Halus, 12/2 (HHC/KKC) and 4 at Changi North, 13/2 (LKS). At  Punggol, 1 male was seen on 14/2 (LKS) anda female on 21/2 (DAH/LKS).  5 at Lorong Halus, 18/3 (LKS)."
RED COLLARED-DOVE Streptopelia tranquebarica,2005-01-09,2,(DA/NK/LKS/JR),Punggol,"1 male seen in mangrove at SBWR, 7/1 (DA/LKS), | pair on a dead tree at Punggol, 9/1 (DA/NK/LKS/JR)  and 2 at Lorong Halus, 16/1 (DA/NK/LKS).  4 seen foraging on gravel track at Lorong Halus, 12/2 (HHC/KKC) and 4 at Changi North, 13/2 (LKS). At  Punggol, 1 male was seen on 14/2 (LKS) anda female on 21/2 (DAH/LKS).  5 at Lorong Halus, 18/3 (LKS)."
RED COLLARED-DOVE Streptopelia tranquebarica,2005-01-16,2,(DA/NK/LKS),Lorong Halus,"1 male seen in mangrove at SBWR, 7/1 (DA/LKS), | pair on a dead tree at Punggol, 9/1 (DA/NK/LKS/JR)  and 2 at Lorong Halus, 16/1 (DA/NK/LKS).  4 seen foraging on gravel track at Lorong Halus, 12/2 (HHC/KKC) and 4 at Changi North, 13/2 (LKS). At  Punggol, 1 male was seen on 14/2 (LKS) anda female on 21/2 (DAH/LKS).  5 at Lorong Halus, 18/3 (LKS)."
RED COLLARED-DOVE Streptopelia tranquebarica,2005-02-12,4,(HHC/KKC),Lorong Halus,"1 male seen in mangrove at SBWR, 7/1 (DA/LKS), | pair on a dead tree at Punggol, 9/1 (DA/NK/LKS/JR)  and 2 at Lorong Halus, 16/1 (DA/NK/LKS).  4 seen foraging on gravel track at Lorong Halus, 12/2 (HHC/KKC) and 4 at Changi North, 13/2 (LKS). At  Punggol, 1 male was seen on 14/2 (LKS) anda female on 21/2 (DAH/LKS).  5 at Lorong Halus, 18/3 (LKS)."
RED COLLARED-DOVE Streptopelia tranquebarica,2005-02-13,4,(LKS),Changi North,"1 male seen in mangrove at SBWR, 7/1 (DA/LKS), | pair on a dead tree at Punggol, 9/1 (DA/NK/LKS/JR)  and 2 at Lorong Halus, 16/1 (DA/NK/LKS).  4 seen foraging on gravel track at Lorong Halus, 12/2 (HHC/KKC) and 4 at Changi North, 13/2 (LKS). At  Punggol, 1 male was seen on 14/2 (LKS) anda female on 21/2 (DAH/LKS).  5 at Lorong Halus, 18/3 (LKS)."
RED COLLARED-DOVE Streptopelia tranquebarica,2005-02-14,1,(LKS),Punggol,"1 male seen in mangrove at SBWR, 7/1 (DA/LKS), | pair on a dead tree at Punggol, 9/1 (DA/NK/LKS/JR)  and 2 at Lorong Halus, 16/1 (DA/NK/LKS).  4 seen foraging on gravel track at Lorong Halus, 12/2 (HHC/KKC) and 4 at Changi North, 13/2 (LKS). At  Punggol, 1 male was seen on 14/2 (LKS) anda female on 21/2 (DAH/LKS).  5 at Lorong Halus, 18/3 (LKS)."
RED COLLARED-DOVE Streptopelia tranquebarica,2005-02-21,1,(DAH/LKS),Punggol,"1 male seen in mangrove at SBWR, 7/1 (DA/LKS), | pair on a dead tree at Punggol, 9/1 (DA/NK/LKS/JR)  and 2 at Lorong Halus, 16/1 (DA/NK/LKS).  4 seen foraging on gravel track at Lorong Halus, 12/2 (HHC/KKC) and 4 at Changi North, 13/2 (LKS). At  Punggol, 1 male was seen on 14/2 (LKS) anda female on 21/2 (DAH/LKS).  5 at Lorong Halus, 18/3 (LKS)."
RED COLLARED-DOVE Streptopelia tranquebarica,2005-03-18,5,(LKS),Lorong Halus,"1 male seen in mangrove at SBWR, 7/1 (DA/LKS), | pair on a dead tree at Punggol, 9/1 (DA/NK/LKS/JR)  and 2 at Lorong Halus, 16/1 (DA/NK/LKS).  4 seen foraging on gravel track at Lorong Halus, 12/2 (HHC/KKC) and 4 at Changi North, 13/2 (LKS). At  Punggol, 1 male was seen on 14/2 (LKS) anda female on 21/2 (DAH/LKS).  5 at Lorong Halus, 18/3 (LKS)."
WATERCOCK. Gallicrex cinerea,2005-01-16,1,(NK/LKS),Lorong Halus,"1 female flushed at Lorong Halus, 16/1 (NK/LKS)."
SWINHOE’S SNIPE Gallinago megala,2005-01-28,1,(LKS),Neo Tiew,"1 seen feeding in a canal at Neo Tiew Lane 2, 28/1 (LKS).  At Punggol, 1 was seen on 18/2 (LKS) and 20/2 (DAH/LKS), and 2 birds on 21/2 (DAH/LKS).  2 seen feeding close-up at Punggol, 21/3 (AC).  - 26 -   Singapore Avifauna Volume 19 No. 1"
SWINHOE’S SNIPE Gallinago megala,2005-02-18,1,(LKS),Punggol,"1 seen feeding in a canal at Neo Tiew Lane 2, 28/1 (LKS).  At Punggol, 1 was seen on 18/2 (LKS) and 20/2 (DAH/LKS), and 2 birds on 21/2 (DAH/LKS).  2 seen feeding close-up at Punggol, 21/3 (AC).  - 26 -   Singapore Avifauna Volume 19 No. 1"
SWINHOE’S SNIPE Gallinago megala,2005-02-20,1,(DAH/LKS),Punggol,"1 seen feeding in a canal at Neo Tiew Lane 2, 28/1 (LKS).  At Punggol, 1 was seen on 18/2 (LKS) and 20/2 (DAH/LKS), and 2 birds on 21/2 (DAH/LKS).  2 seen feeding close-up at Punggol, 21/3 (AC).  - 26 -   Singapore Avifauna Volume 19 No. 1"
SWINHOE’S SNIPE Gallinago megala,2005-02-21,2,(DAH/LKS),Punggol,"1 seen feeding in a canal at Neo Tiew Lane 2, 28/1 (LKS).  At Punggol, 1 was seen on 18/2 (LKS) and 20/2 (DAH/LKS), and 2 birds on 21/2 (DAH/LKS).  2 seen feeding close-up at Punggol, 21/3 (AC).  - 26 -   Singapore Avifauna Volume 19 No. 1"
SWINHOE’S SNIPE Gallinago megala,2005-03-21,2,(AC),Punggol,"1 seen feeding in a canal at Neo Tiew Lane 2, 28/1 (LKS).  At Punggol, 1 was seen on 18/2 (LKS) and 20/2 (DAH/LKS), and 2 birds on 21/2 (DAH/LKS).  2 seen feeding close-up at Punggol, 21/3 (AC).  - 26 -   Singapore Avifauna Volume 19 No. 1"
BAR-TAILED GODWIT Limosa lapponica,2005-01-19,1,(LKS),SBWR,"1 seen with whimbrels at SBWR, 19/1 (LKS).  1 at SBWR, 4/2 (LKS)."
BAR-TAILED GODWIT Limosa lapponica,2005-02-04,1,(LKS),SBWR,"1 seen with whimbrels at SBWR, 19/1 (LKS).  1 at SBWR, 4/2 (LKS)."
WHIMBREL Numenius phaeopus,2005-01-07,150,(DA/LKS),SBWR,"At SBWR, 150 were counted on 7/1 (DA/LKS), 144 on 19/1 (LKS) and 300 on 28/1 (LKS). 400 were also  counted at Sungei Mandai, 28/1 (LKS).  3 seen at Kukup Laut, 16/1 (DA/AC/HBS/NK/LY/LKS/TPL).  At SBWR, 150 were counted on 4/2 (LKS), 200 on 20/2 (DAH/LKS) and 80 on 28/2 (AF/LKS).  10 at SBWR, 29/3 (LKS)."
WHIMBREL Numenius phaeopus,2005-01-19,144,(LKS),SBWR,"At SBWR, 150 were counted on 7/1 (DA/LKS), 144 on 19/1 (LKS) and 300 on 28/1 (LKS). 400 were also  counted at Sungei Mandai, 28/1 (LKS).  3 seen at Kukup Laut, 16/1 (DA/AC/HBS/NK/LY/LKS/TPL).  At SBWR, 150 were counted on 4/2 (LKS), 200 on 20/2 (DAH/LKS) and 80 on 28/2 (AF/LKS).  10 at SBWR, 29/3 (LKS)."
WHIMBREL Numenius phaeopus,2005-01-28,300,(LKS),SBWR,"At SBWR, 150 were counted on 7/1 (DA/LKS), 144 on 19/1 (LKS) and 300 on 28/1 (LKS). 400 were also  counted at Sungei Mandai, 28/1 (LKS).  3 seen at Kukup Laut, 16/1 (DA/AC/HBS/NK/LY/LKS/TPL).  At SBWR, 150 were counted on 4/2 (LKS), 200 on 20/2 (DAH/LKS) and 80 on 28/2 (AF/LKS).  10 at SBWR, 29/3 (LKS)."
WHIMBREL Numenius phaeopus,2005-01-28,400,(LKS),Sungei Mandai,"At SBWR, 150 were counted on 7/1 (DA/LKS), 144 on 19/1 (LKS) and 300 on 28/1 (LKS). 400 were also  counted at Sungei Mandai, 28/1 (LKS).  3 seen at Kukup Laut, 16/1 (DA/AC/HBS/NK/LY/LKS/TPL).  At SBWR, 150 were counted on 4/2 (LKS), 200 on 20/2 (DAH/LKS) and 80 on 28/2 (AF/LKS).  10 at SBWR, 29/3 (LKS)."
WHIMBREL Numenius phaeopus,2005-01-16,3,(DA/AC/HBS/NK/LY/LKS/TPL),Kukup Laut,"At SBWR, 150 were counted on 7/1 (DA/LKS), 144 on 19/1 (LKS) and 300 on 28/1 (LKS). 400 were also  counted at Sungei Mandai, 28/1 (LKS).  3 seen at Kukup Laut, 16/1 (DA/AC/HBS/NK/LY/LKS/TPL).  At SBWR, 150 were counted on 4/2 (LKS), 200 on 20/2 (DAH/LKS) and 80 on 28/2 (AF/LKS).  10 at SBWR, 29/3 (LKS)."
WHIMBREL Numenius phaeopus,2005-02-04,150,(LKS),SBWR,"At SBWR, 150 were counted on 7/1 (DA/LKS), 144 on 19/1 (LKS) and 300 on 28/1 (LKS). 400 were also  counted at Sungei Mandai, 28/1 (LKS).  3 seen at Kukup Laut, 16/1 (DA/AC/HBS/NK/LY/LKS/TPL).  At SBWR, 150 were counted on 4/2 (LKS), 200 on 20/2 (DAH/LKS) and 80 on 28/2 (AF/LKS).  10 at SBWR, 29/3 (LKS)."
WHIMBREL Numenius phaeopus,2005-02-20,200,(DAH/LKS),SBWR,"At SBWR, 150 were counted on 7/1 (DA/LKS), 144 on 19/1 (LKS) and 300 on 28/1 (LKS). 400 were also  counted at Sungei Mandai, 28/1 (LKS).  3 seen at Kukup Laut, 16/1 (DA/AC/HBS/NK/LY/LKS/TPL).  At SBWR, 150 were counted on 4/2 (LKS), 200 on 20/2 (DAH/LKS) and 80 on 28/2 (AF/LKS).  10 at SBWR, 29/3 (LKS)."
WHIMBREL Numenius phaeopus,2005-02-28,80,(AF/LKS),SBWR,"At SBWR, 150 were counted on 7/1 (DA/LKS), 144 on 19/1 (LKS) and 300 on 28/1 (LKS). 400 were also  counted at Sungei Mandai, 28/1 (LKS).  3 seen at Kukup Laut, 16/1 (DA/AC/HBS/NK/LY/LKS/TPL).  At SBWR, 150 were counted on 4/2 (LKS), 200 on 20/2 (DAH/LKS) and 80 on 28/2 (AF/LKS).  10 at SBWR, 29/3 (LKS)."
WHIMBREL Numenius phaeopus,2005-03-29,10,(LKS),SBWR,"At SBWR, 150 were counted on 7/1 (DA/LKS), 144 on 19/1 (LKS) and 300 on 28/1 (LKS). 400 were also  counted at Sungei Mandai, 28/1 (LKS).  3 seen at Kukup Laut, 16/1 (DA/AC/HBS/NK/LY/LKS/TPL).  At SBWR, 150 were counted on 4/2 (LKS), 200 on 20/2 (DAH/LKS) and 80 on 28/2 (AF/LKS).  10 at SBWR, 29/3 (LKS)."
COMMON REDSHANK Tringa totanus,2005-01-07,200,(DA/LKS),SBWR,"200 at SBWR, 7/1 (DA/LKS).  23 counted at Kukup Laut, 16/1 (DA/AC/HBS/NK/LY/LKS/T PL)."
COMMON REDSHANK Tringa totanus,2005-01-16,23,(DA/AC/HBS/NK/LY/LKS/T PL),Kukup Laut,"200 at SBWR, 7/1 (DA/LKS).  23 counted at Kukup Laut, 16/1 (DA/AC/HBS/NK/LY/LKS/T PL)."
MARSH SANDPIPER Tringa stagnatilis,2005-01-07,200,(DA/LKS),SBWR,"At SBWR, 200 were seen on 7/1 (DA/LKS) and 30 on 28/1 (LKS). 1 was also seen at Lorong Halus, 16/]  (DA/NK/LKS).  At SBWR, 100 were counted on 20/2 (DAH/LKS) and 30 on 28/2 (AF/LKS).  1 summer bird at Lorong Halus, 16/3 (LKS) and 18/3 (LKS). 25 at SBWR, 29/3 (LKS)."
MARSH SANDPIPER Tringa stagnatilis,2005-01-28,30,(LKS),SBWR,"At SBWR, 200 were seen on 7/1 (DA/LKS) and 30 on 28/1 (LKS). 1 was also seen at Lorong Halus, 16/]  (DA/NK/LKS).  At SBWR, 100 were counted on 20/2 (DAH/LKS) and 30 on 28/2 (AF/LKS).  1 summer bird at Lorong Halus, 16/3 (LKS) and 18/3 (LKS). 25 at SBWR, 29/3 (LKS)."
MARSH SANDPIPER Tringa stagnatilis,2005-02-20,1,(DA/NK/LKS),Lorong Halus,"At SBWR, 200 were seen on 7/1 (DA/LKS) and 30 on 28/1 (LKS). 1 was also seen at Lorong Halus, 16/]  (DA/NK/LKS).  At SBWR, 100 were counted on 20/2 (DAH/LKS) and 30 on 28/2 (AF/LKS).  1 summer bird at Lorong Halus, 16/3 (LKS) and 18/3 (LKS). 25 at SBWR, 29/3 (LKS)."
MARSH SANDPIPER Tringa stagnatilis,2005-02-28,100,(DAH/LKS),SBWR,"At SBWR, 200 were seen on 7/1 (DA/LKS) and 30 on 28/1 (LKS). 1 was also seen at Lorong Halus, 16/]  (DA/NK/LKS).  At SBWR, 100 were counted on 20/2 (DAH/LKS) and 30 on 28/2 (AF/LKS).  1 summer bird at Lorong Halus, 16/3 (LKS) and 18/3 (LKS). 25 at SBWR, 29/3 (LKS)."
MARSH SANDPIPER Tringa stagnatilis,2005-03-16,30,(AF/LKS),SBWR,"At SBWR, 200 were seen on 7/1 (DA/LKS) and 30 on 28/1 (LKS). 1 was also seen at Lorong Halus, 16/]  (DA/NK/LKS).  At SBWR, 100 were counted on 20/2 (DAH/LKS) and 30 on 28/2 (AF/LKS).  1 summer bird at Lorong Halus, 16/3 (LKS) and 18/3 (LKS). 25 at SBWR, 29/3 (LKS)."
MARSH SANDPIPER Tringa stagnatilis,2005-03-18,1,(LKS),Lorong Halus,"At SBWR, 200 were seen on 7/1 (DA/LKS) and 30 on 28/1 (LKS). 1 was also seen at Lorong Halus, 16/]  (DA/NK/LKS).  At SBWR, 100 were counted on 20/2 (DAH/LKS) and 30 on 28/2 (AF/LKS).  1 summer bird at Lorong Halus, 16/3 (LKS) and 18/3 (LKS). 25 at SBWR, 29/3 (LKS)."
MARSH SANDPIPER Tringa stagnatilis,2005-03-29,1,(LKS),Lorong Halus,"At SBWR, 200 were seen on 7/1 (DA/LKS) and 30 on 28/1 (LKS). 1 was also seen at Lorong Halus, 16/]  (DA/NK/LKS).  At SBWR, 100 were counted on 20/2 (DAH/LKS) and 30 on 28/2 (AF/LKS).  1 summer bird at Lorong Halus, 16/3 (LKS) and 18/3 (LKS). 25 at SBWR, 29/3 (LKS)."
COMMON GREENSHANK. Tringa nebularia,2005-01-02,2,(DA/NK/LKS/JR),Pulau Ubin,"2 seen on Pulau Ubin, 2/1 (DA/NK/LKS/JR), 100 at SBWR, 7/1 (DA/LKS) and 50 at Sungei Mandai, 28/)  (LKS).   Singapore Avifauna Volume 19 No. 1"
COMMON GREENSHANK. Tringa nebularia,2005-01-07,100,(DA/LKS),SBWR,"2 seen on Pulau Ubin, 2/1 (DA/NK/LKS/JR), 100 at SBWR, 7/1 (DA/LKS) and 50 at Sungei Mandai, 28/)  (LKS).   Singapore Avifauna Volume 19 No. 1"
