English name,Scientific name,Date,Count,Observer,Location,Comments
Red Collared-Dove,Streptopelia tranquebarica,7/1/2005,1,(DA/LKS),SBWR,"1 male seen in mangrove at SBWR, 7/1 (DA/LKS), | pair on a dead tree at Punggol, 9/1 (DA/NK/LKS/JR)  and 2 at Lorong Halus, 16/1 (DA/NK/LKS).  4 seen foraging on gravel track at Lorong Halus, 12/2 (HHC/KKC) and 4 at Changi North, 13/2 (LKS). At  Punggol, 1 male was seen on 14/2 (LKS) anda female on 21/2 (DAH/LKS).  5 at Lorong Halus, 18/3 (LKS)."
Red Collared-Dove,Streptopelia tranquebarica,9/1/2005,2,(DA/NK/LKS/JR),Punggol,"1 male seen in mangrove at SBWR, 7/1 (DA/LKS), | pair on a dead tree at Punggol, 9/1 (DA/NK/LKS/JR)  and 2 at Lorong Halus, 16/1 (DA/NK/LKS).  4 seen foraging on gravel track at Lorong Halus, 12/2 (HHC/KKC) and 4 at Changi North, 13/2 (LKS). At  Punggol, 1 male was seen on 14/2 (LKS) anda female on 21/2 (DAH/LKS).  5 at Lorong Halus, 18/3 (LKS)."
Red Collared-Dove,Streptopelia tranquebarica,16/1/2005,2,(DA/NK/LKS),Lorong Halus,"1 male seen in mangrove at SBWR, 7/1 (DA/LKS), | pair on a dead tree at Punggol, 9/1 (DA/NK/LKS/JR)  and 2 at Lorong Halus, 16/1 (DA/NK/LKS).  4 seen foraging on gravel track at Lorong Halus, 12/2 (HHC/KKC) and 4 at Changi North, 13/2 (LKS). At  Punggol, 1 male was seen on 14/2 (LKS) anda female on 21/2 (DAH/LKS).  5 at Lorong Halus, 18/3 (LKS)."
Red Collared-Dove,Streptopelia tranquebarica,12/2/2005,4,(HHC/KKC),Lorong Halus,"1 male seen in mangrove at SBWR, 7/1 (DA/LKS), | pair on a dead tree at Punggol, 9/1 (DA/NK/LKS/JR)  and 2 at Lorong Halus, 16/1 (DA/NK/LKS).  4 seen foraging on gravel track at Lorong Halus, 12/2 (HHC/KKC) and 4 at Changi North, 13/2 (LKS). At  Punggol, 1 male was seen on 14/2 (LKS) anda female on 21/2 (DAH/LKS).  5 at Lorong Halus, 18/3 (LKS)."
Red Collared-Dove,Streptopelia tranquebarica,13/2/2005,4,(LKS),Changi North,"1 male seen in mangrove at SBWR, 7/1 (DA/LKS), | pair on a dead tree at Punggol, 9/1 (DA/NK/LKS/JR)  and 2 at Lorong Halus, 16/1 (DA/NK/LKS).  4 seen foraging on gravel track at Lorong Halus, 12/2 (HHC/KKC) and 4 at Changi North, 13/2 (LKS). At  Punggol, 1 male was seen on 14/2 (LKS) anda female on 21/2 (DAH/LKS).  5 at Lorong Halus, 18/3 (LKS)."
Red Collared-Dove,Streptopelia tranquebarica,14/2/2005,1,(LKS),Punggol,"1 male seen in mangrove at SBWR, 7/1 (DA/LKS), | pair on a dead tree at Punggol, 9/1 (DA/NK/LKS/JR)  and 2 at Lorong Halus, 16/1 (DA/NK/LKS).  4 seen foraging on gravel track at Lorong Halus, 12/2 (HHC/KKC) and 4 at Changi North, 13/2 (LKS). At  Punggol, 1 male was seen on 14/2 (LKS) anda female on 21/2 (DAH/LKS).  5 at Lorong Halus, 18/3 (LKS)."
Red Collared-Dove,Streptopelia tranquebarica,21/2/2005,1,(DAH/LKS),Punggol,"1 male seen in mangrove at SBWR, 7/1 (DA/LKS), | pair on a dead tree at Punggol, 9/1 (DA/NK/LKS/JR)  and 2 at Lorong Halus, 16/1 (DA/NK/LKS).  4 seen foraging on gravel track at Lorong Halus, 12/2 (HHC/KKC) and 4 at Changi North, 13/2 (LKS). At  Punggol, 1 male was seen on 14/2 (LKS) anda female on 21/2 (DAH/LKS).  5 at Lorong Halus, 18/3 (LKS)."
Red Collared-Dove,Streptopelia tranquebarica,18/3/2005,5,(LKS),Lorong Halus,"1 male seen in mangrove at SBWR, 7/1 (DA/LKS), | pair on a dead tree at Punggol, 9/1 (DA/NK/LKS/JR)  and 2 at Lorong Halus, 16/1 (DA/NK/LKS).  4 seen foraging on gravel track at Lorong Halus, 12/2 (HHC/KKC) and 4 at Changi North, 13/2 (LKS). At  Punggol, 1 male was seen on 14/2 (LKS) anda female on 21/2 (DAH/LKS).  5 at Lorong Halus, 18/3 (LKS)."
Watercock,Gallicrex cinerea,16/1/2005,1,(NK/LKS),Lorong Halus,"1 female flushed at Lorong Halus, 16/1 (NK/LKS)."
Swinhoe's Snipe,Gallinago megala,28/1/2005,1,(LKS),Neo Tiew,"1 seen feeding in a canal at Neo Tiew Lane 2, 28/1 (LKS).  At Punggol, 1 was seen on 18/2 (LKS) and 20/2 (DAH/LKS), and 2 birds on 21/2 (DAH/LKS).  2 seen feeding close-up at Punggol, 21/3 (AC).  - 26 -   Singapore Avifauna Volume 19 No. 1"
Swinhoe's Snipe,Gallinago megala,18/2/2005,1,(LKS),Punggol,"1 seen feeding in a canal at Neo Tiew Lane 2, 28/1 (LKS).  At Punggol, 1 was seen on 18/2 (LKS) and 20/2 (DAH/LKS), and 2 birds on 21/2 (DAH/LKS).  2 seen feeding close-up at Punggol, 21/3 (AC).  - 26 -   Singapore Avifauna Volume 19 No. 1"
Swinhoe's Snipe,Gallinago megala,20/2/2005,1,(DAH/LKS),Punggol,"1 seen feeding in a canal at Neo Tiew Lane 2, 28/1 (LKS).  At Punggol, 1 was seen on 18/2 (LKS) and 20/2 (DAH/LKS), and 2 birds on 21/2 (DAH/LKS).  2 seen feeding close-up at Punggol, 21/3 (AC).  - 26 -   Singapore Avifauna Volume 19 No. 1"
Swinhoe's Snipe,Gallinago megala,21/2/2005,2,(DAH/LKS),Punggol,"1 seen feeding in a canal at Neo Tiew Lane 2, 28/1 (LKS).  At Punggol, 1 was seen on 18/2 (LKS) and 20/2 (DAH/LKS), and 2 birds on 21/2 (DAH/LKS).  2 seen feeding close-up at Punggol, 21/3 (AC).  - 26 -   Singapore Avifauna Volume 19 No. 1"
Swinhoe's Snipe,Gallinago megala,21/3/2005,2,(AC),Punggol,"1 seen feeding in a canal at Neo Tiew Lane 2, 28/1 (LKS).  At Punggol, 1 was seen on 18/2 (LKS) and 20/2 (DAH/LKS), and 2 birds on 21/2 (DAH/LKS).  2 seen feeding close-up at Punggol, 21/3 (AC).  - 26 -   Singapore Avifauna Volume 19 No. 1"
Bar-tailed Godwit,Limosa lapponica,19/1/2005,1,(LKS),SBWR,"1 seen with whimbrels at SBWR, 19/1 (LKS).  1 at SBWR, 4/2 (LKS)."
Bar-tailed Godwit,Limosa lapponica,4/2/2005,1,(LKS),SBWR,"1 seen with whimbrels at SBWR, 19/1 (LKS).  1 at SBWR, 4/2 (LKS)."
Whimbrel,Numenius phaeopus,7/1/2005,150,(DA/LKS),SBWR,"At SBWR, 150 were counted on 7/1 (DA/LKS), 144 on 19/1 (LKS) and 300 on 28/1 (LKS). 400 were also  counted at Sungei Mandai, 28/1 (LKS).  3 seen at Kukup Laut, 16/1 (DA/AC/HBS/NK/LY/LKS/TPL).  At SBWR, 150 were counted on 4/2 (LKS), 200 on 20/2 (DAH/LKS) and 80 on 28/2 (AF/LKS).  10 at SBWR, 29/3 (LKS)."
Whimbrel,Numenius phaeopus,19/1/2005,144,(LKS),SBWR,"At SBWR, 150 were counted on 7/1 (DA/LKS), 144 on 19/1 (LKS) and 300 on 28/1 (LKS). 400 were also  counted at Sungei Mandai, 28/1 (LKS).  3 seen at Kukup Laut, 16/1 (DA/AC/HBS/NK/LY/LKS/TPL).  At SBWR, 150 were counted on 4/2 (LKS), 200 on 20/2 (DAH/LKS) and 80 on 28/2 (AF/LKS).  10 at SBWR, 29/3 (LKS)."
Whimbrel,Numenius phaeopus,28/1/2005,300,(LKS),SBWR,"At SBWR, 150 were counted on 7/1 (DA/LKS), 144 on 19/1 (LKS) and 300 on 28/1 (LKS). 400 were also  counted at Sungei Mandai, 28/1 (LKS).  3 seen at Kukup Laut, 16/1 (DA/AC/HBS/NK/LY/LKS/TPL).  At SBWR, 150 were counted on 4/2 (LKS), 200 on 20/2 (DAH/LKS) and 80 on 28/2 (AF/LKS).  10 at SBWR, 29/3 (LKS)."
Whimbrel,Numenius phaeopus,28/1/2005,400,(LKS),Sungei Mandai,"At SBWR, 150 were counted on 7/1 (DA/LKS), 144 on 19/1 (LKS) and 300 on 28/1 (LKS). 400 were also  counted at Sungei Mandai, 28/1 (LKS).  3 seen at Kukup Laut, 16/1 (DA/AC/HBS/NK/LY/LKS/TPL).  At SBWR, 150 were counted on 4/2 (LKS), 200 on 20/2 (DAH/LKS) and 80 on 28/2 (AF/LKS).  10 at SBWR, 29/3 (LKS)."
Whimbrel,Numenius phaeopus,16/1/2005,3,(DA/AC/HBS/NK/LY/LKS/TPL),Kukup Laut,"At SBWR, 150 were counted on 7/1 (DA/LKS), 144 on 19/1 (LKS) and 300 on 28/1 (LKS). 400 were also  counted at Sungei Mandai, 28/1 (LKS).  3 seen at Kukup Laut, 16/1 (DA/AC/HBS/NK/LY/LKS/TPL).  At SBWR, 150 were counted on 4/2 (LKS), 200 on 20/2 (DAH/LKS) and 80 on 28/2 (AF/LKS).  10 at SBWR, 29/3 (LKS)."
Whimbrel,Numenius phaeopus,4/2/2005,150,(LKS),SBWR,"At SBWR, 150 were counted on 7/1 (DA/LKS), 144 on 19/1 (LKS) and 300 on 28/1 (LKS). 400 were also  counted at Sungei Mandai, 28/1 (LKS).  3 seen at Kukup Laut, 16/1 (DA/AC/HBS/NK/LY/LKS/TPL).  At SBWR, 150 were counted on 4/2 (LKS), 200 on 20/2 (DAH/LKS) and 80 on 28/2 (AF/LKS).  10 at SBWR, 29/3 (LKS)."
Whimbrel,Numenius phaeopus,20/2/2005,200,(DAH/LKS),SBWR,"At SBWR, 150 were counted on 7/1 (DA/LKS), 144 on 19/1 (LKS) and 300 on 28/1 (LKS). 400 were also  counted at Sungei Mandai, 28/1 (LKS).  3 seen at Kukup Laut, 16/1 (DA/AC/HBS/NK/LY/LKS/TPL).  At SBWR, 150 were counted on 4/2 (LKS), 200 on 20/2 (DAH/LKS) and 80 on 28/2 (AF/LKS).  10 at SBWR, 29/3 (LKS)."
Whimbrel,Numenius phaeopus,28/2/2005,80,(AF/LKS),SBWR,"At SBWR, 150 were counted on 7/1 (DA/LKS), 144 on 19/1 (LKS) and 300 on 28/1 (LKS). 400 were also  counted at Sungei Mandai, 28/1 (LKS).  3 seen at Kukup Laut, 16/1 (DA/AC/HBS/NK/LY/LKS/TPL).  At SBWR, 150 were counted on 4/2 (LKS), 200 on 20/2 (DAH/LKS) and 80 on 28/2 (AF/LKS).  10 at SBWR, 29/3 (LKS)."
Whimbrel,Numenius phaeopus,29/3/2005,10,(LKS),SBWR,"At SBWR, 150 were counted on 7/1 (DA/LKS), 144 on 19/1 (LKS) and 300 on 28/1 (LKS). 400 were also  counted at Sungei Mandai, 28/1 (LKS).  3 seen at Kukup Laut, 16/1 (DA/AC/HBS/NK/LY/LKS/TPL).  At SBWR, 150 were counted on 4/2 (LKS), 200 on 20/2 (DAH/LKS) and 80 on 28/2 (AF/LKS).  10 at SBWR, 29/3 (LKS)."
Common Redshank,Tringa totanus,7/1/2005,200,(DA/LKS),SBWR,"200 at SBWR, 7/1 (DA/LKS).  23 counted at Kukup Laut, 16/1 (DA/AC/HBS/NK/LY/LKS/T PL)."
Common Redshank,Tringa totanus,16/1/2005,23,(DA/AC/HBS/NK/LY/LKS/T PL),Kukup Laut,"200 at SBWR, 7/1 (DA/LKS).  23 counted at Kukup Laut, 16/1 (DA/AC/HBS/NK/LY/LKS/T PL)."
Marsh Sandpiper,Tringa stagnatilis,7/1/2005,200,(DA/LKS),SBWR,"At SBWR, 200 were seen on 7/1 (DA/LKS) and 30 on 28/1 (LKS). 1 was also seen at Lorong Halus, 16/]  (DA/NK/LKS).  At SBWR, 100 were counted on 20/2 (DAH/LKS) and 30 on 28/2 (AF/LKS).  1 summer bird at Lorong Halus, 16/3 (LKS) and 18/3 (LKS). 25 at SBWR, 29/3 (LKS)."
Marsh Sandpiper,Tringa stagnatilis,28/1/2005,30,(LKS),SBWR,"At SBWR, 200 were seen on 7/1 (DA/LKS) and 30 on 28/1 (LKS). 1 was also seen at Lorong Halus, 16/]  (DA/NK/LKS).  At SBWR, 100 were counted on 20/2 (DAH/LKS) and 30 on 28/2 (AF/LKS).  1 summer bird at Lorong Halus, 16/3 (LKS) and 18/3 (LKS). 25 at SBWR, 29/3 (LKS)."
Marsh Sandpiper,Tringa stagnatilis,20/2/2005,1,(DA/NK/LKS),Lorong Halus,"At SBWR, 200 were seen on 7/1 (DA/LKS) and 30 on 28/1 (LKS). 1 was also seen at Lorong Halus, 16/]  (DA/NK/LKS).  At SBWR, 100 were counted on 20/2 (DAH/LKS) and 30 on 28/2 (AF/LKS).  1 summer bird at Lorong Halus, 16/3 (LKS) and 18/3 (LKS). 25 at SBWR, 29/3 (LKS)."
Marsh Sandpiper,Tringa stagnatilis,28/2/2005,100,(DAH/LKS),SBWR,"At SBWR, 200 were seen on 7/1 (DA/LKS) and 30 on 28/1 (LKS). 1 was also seen at Lorong Halus, 16/]  (DA/NK/LKS).  At SBWR, 100 were counted on 20/2 (DAH/LKS) and 30 on 28/2 (AF/LKS).  1 summer bird at Lorong Halus, 16/3 (LKS) and 18/3 (LKS). 25 at SBWR, 29/3 (LKS)."
Marsh Sandpiper,Tringa stagnatilis,16/3/2005,30,(AF/LKS),SBWR,"At SBWR, 200 were seen on 7/1 (DA/LKS) and 30 on 28/1 (LKS). 1 was also seen at Lorong Halus, 16/]  (DA/NK/LKS).  At SBWR, 100 were counted on 20/2 (DAH/LKS) and 30 on 28/2 (AF/LKS).  1 summer bird at Lorong Halus, 16/3 (LKS) and 18/3 (LKS). 25 at SBWR, 29/3 (LKS)."
Marsh Sandpiper,Tringa stagnatilis,18/3/2005,1,(LKS),Lorong Halus,"At SBWR, 200 were seen on 7/1 (DA/LKS) and 30 on 28/1 (LKS). 1 was also seen at Lorong Halus, 16/]  (DA/NK/LKS).  At SBWR, 100 were counted on 20/2 (DAH/LKS) and 30 on 28/2 (AF/LKS).  1 summer bird at Lorong Halus, 16/3 (LKS) and 18/3 (LKS). 25 at SBWR, 29/3 (LKS)."
Marsh Sandpiper,Tringa stagnatilis,29/3/2005,1,(LKS),Lorong Halus,"At SBWR, 200 were seen on 7/1 (DA/LKS) and 30 on 28/1 (LKS). 1 was also seen at Lorong Halus, 16/]  (DA/NK/LKS).  At SBWR, 100 were counted on 20/2 (DAH/LKS) and 30 on 28/2 (AF/LKS).  1 summer bird at Lorong Halus, 16/3 (LKS) and 18/3 (LKS). 25 at SBWR, 29/3 (LKS)."
Common Greenshank,Tringa nebularia,2/1/2005,2,(DA/NK/LKS/JR),Pulau Ubin,"2 seen on Pulau Ubin, 2/1 (DA/NK/LKS/JR), 100 at SBWR, 7/1 (DA/LKS) and 50 at Sungei Mandai, 28/)  (LKS).   Singapore Avifauna Volume 19 No. 1"
Common Greenshank,Tringa nebularia,7/1/2005,100,(DA/LKS),SBWR,"2 seen on Pulau Ubin, 2/1 (DA/NK/LKS/JR), 100 at SBWR, 7/1 (DA/LKS) and 50 at Sungei Mandai, 28/)  (LKS).   Singapore Avifauna Volume 19 No. 1"
